session,frame_id,x1,y1,x2,y2,width,height,touches_image_border
1,15,0,138,188,480,188,342,1
2,15,237,258,453,480,216,222,1
3,15,28,202,171,480,143,278,1
4,15,260,0,428,386,168,386,1
5,15,0,296,220,480,220,184,1
6,15,315,300,598,480,283,180,1
7,15,0,42,231,358,231,316,1
8,15,265,0,499,308,234,308,1
9,15,213,230,469,480,256,250,1
10,15,35,123,180,480,145,357,1
11,15,258,210,467,480,209,270,1
12,15,282,266,640,480,358,214,1
13,15,0,58,375,299,375,241,1
15,15,387,0,540,383,153,383,1
16,15,217,286,461,480,244,194,1
17,15,243,220,640,480,397,260,1
