Timestamp_s,Temp_Relative_Max,Pos_Hotspot_X,Pos_Hotspot_Y
0.82,28471.89,2,2
1.7,28528.78,2,2
2.5,28585.67,2,2
3.51,29951.0,22,5
4.29,29097.67,20,7
5.13,30036.33,20,7
6.09,30633.67,23,6
7.1,30007.89,20,9
7.9,29695.0,20,13
8.73,29353.67,20,13
9.54,28927.0,2,2
10.34,28642.56,2,2
11.18,28870.11,22,9
11.99,29268.33,23,9
12.82,28927.0,20,13
13.63,29439.0,23,9
14.46,28983.89,20,13
15.29,28841.67,20,15
16.13,29353.67,20,15
16.98,29325.22,21,15
17.77,29353.67,20,15
18.62,29069.22,20,15
19.5,28813.22,20,15
20.36,29012.33,20,15
21.17,28415.0,2,2
22.0,28358.11,2,2
22.8,28358.11,2,2
23.62,28329.67,2,2
24.43,28471.89,2,2
25.23,28500.33,2,2
26.03,28415.0,2,2
26.87,28471.89,2,2
27.72,28187.44,2,2
28.52,28130.56,2,2
29.35,28671.0,2,2
30.17,28727.89,2,2
31.0,28130.56,2,2
31.82,28329.67,2,2
32.62,28073.67,2,2
33.46,28443.44,2,2
34.26,28386.56,2,2
35.1,28528.78,2,2
35.9,28500.33,2,2
36.74,28386.56,2,2
37.59,28386.56,2,2
38.4,28215.89,2,2
39.23,28244.33,2,2
40.04,28244.33,2,2
40.87,28471.89,2,2
41.7,28187.44,2,2
42.49,28614.11,2,2
43.33,28415.0,2,2
44.13,28016.78,2,2
45.01,28073.67,2,2
45.84,28671.0,2,2
46.68,28386.56,2,2
47.51,28386.56,2,2
48.34,28471.89,2,2
49.15,28187.44,2,2
49.98,28215.89,2,2
50.82,28415.0,2,2
51.64,28272.78,2,2
52.44,28215.89,2,2
53.23,28471.89,2,2
54.13,28415.0,2,2
54.97,28443.44,2,2
55.77,28244.33,2,2
56.6,28386.56,2,2
57.43,28671.0,2,2
58.26,28471.89,2,2
59.11,28130.56,2,2
59.9,28358.11,2,2
60.79,28187.44,2,2
